Mar 16 2017 01: +0,9.959,58571
Mar 17 2017 01: +0,6.416,58383
Mar 18 2017 01: +0,4.624,71172
Mar 19 2017 01: +0,3.723,70474
Mar 20 2017 01: +0,4.166,50443
Mar 21 2017 01: +0,4.322,47382
Mar 22 2017 01: +0,3.935,45106
Mar 23 2017 01: +0,3.523,47111
Mar 24 2017 01: +0,3.309,57631
Mar 25 2017 01: +0,2.795,66350
Mar 26 2017 01: +0,2.398,65801
Mar 27 2017 01: +0,2.343,51333
Mar 28 2017 01: +0,2.368,46645
Mar 29 2017 01: +0,2.298,44795
Mar 30 2017 01: +0,2.222,47452
Mar 31 2017 01: +0,2.246,54821
Apr 01 2017 01: +0,1.959,62732
Apr 02 2017 01: +0,1.736,62853
Apr 03 2017 01: +0,1.732,51479
Apr 04 2017 01: +0,1.788,48038
Apr 05 2017 01: +0,1.754,46023
Apr 06 2017 01: +0,1.649,46067
Apr 07 2017 01: +0,1.605,53228
Apr 08 2017 01: +0,1.444,63524
Apr 09 2017 01: +0,1.263,61927
Apr 10 2017 01: +0,1.26,55742
Apr 11 2017 01: +0,1.317,50613
Apr 12 2017 01: +0,1.256,47554
Apr 13 2017 01: +0,1.23,53870
Apr 14 2017 01: +0,1.305,55757
Apr 15 2017 01: +0,1.153,56065
Apr 16 2017 01: +0,1.066,60984
Apr 17 2017 01: +0,1.089,55727
Apr 18 2017 01: +0,1.081,52757
Apr 19 2017 01: +0,1.11,47651
Apr 20 2017 01: +0,1.127,48890
Apr 21 2017 01: +0,1.124,52804
Apr 22 2017 01: +0,1.017,59115
Apr 23 2017 01: +0,0.962,57768
Apr 24 2017 01: +0,0.895,49821
Apr 25 2017 01: +0,0.981,50638
Apr 26 2017 01: +0,1.018,47542
Apr 27 2017 01: +0,1.029,46292
Apr 28 2017 01: +0,1.036,55778
Apr 29 2017 01: +0,0.991,58843
Apr 30 2017 01: +0,0.909,56627
May 01 2017 01: +0,0.875,54045
May 02 2017 01: +0,0.871,47908
May 03 2017 01: +0,0.888,46677
May 04 2017 01: +0,0.892,45223
May 05 2017 01: +0,0.885,52160
May 06 2017 01: +0,0.828,58429
May 07 2017 01: +0,0.821,58087
May 08 2017 01: +0,0.773,49417
May 09 2017 01: +0,0.723,49033
May 10 2017 01: +0,0.757,45456
May 11 2017 01: +0,0.783,45245
May 12 2017 01: +0,0.792,52610
May 13 2017 01: +0,0.77,57875
May 14 2017 01: +0,0.728,55015
May 15 2017 01: +0,0.752,47194
May 16 2017 01: +0,0.765,44033
May 17 2017 01: +0,0.787,43264
May 18 2017 01: +0,0.788,44292
May 19 2017 01: +0,0.789,49692
May 20 2017 01: +0,0.734,54045
May 21 2017 01: +0,0.657,52182
May 22 2017 01: +0,0.649,44502
May 23 2017 01: +0,0.667,44434
May 24 2017 01: +0,0.393,68237
May 25 2017 01: +0,0.39,62618
May 26 2017 01: +0,0.38,58955
May 27 2017 01: +0,0.415,59064
May 28 2017 01: +0,0.36,55255
May 29 2017 01: +0,0.38,54889
May 30 2017 01: +0,0.442,54067
May 31 2017 01: +0,0.468,55089
Jun 01 2017 01: +0,0.467,53383
Jun 02 2017 01: +0,0.482,55191
Jun 03 2017 01: +0,0.502,55168
Jun 04 2017 01: +0,0.474,54611
Jun 05 2017 01: +0,0.463,51622
Jun 06 2017 01: +0,0.458,50897
Jun 07 2017 01: +0,0.43,42623
Jun 08 2017 01: +0,0.35,44669
Jun 09 2017 01: +0,0.361,53437
