Jan 09 2015 01: +0,10.129,74129
Jan 10 2015 01: +0,5.953,87686
Jan 11 2015 01: +0,4.544,86192
Jan 12 2015 01: +0,4.263,65737
Jan 13 2015 01: +0,3.961,64090
Jan 14 2015 01: +0,3.446,67710
Jan 15 2015 01: +0,3.301,63915
Jan 16 2015 01: +0,2.929,73142
Jan 17 2015 01: +0,2.501,86983
Jan 18 2015 01: +0,2,90765
Jan 19 2015 01: +0,2.101,73073
Jan 20 2015 01: +0,2.06,67436
Jan 21 2015 01: +0,1.917,65931
Jan 22 2015 01: +0,1.813,73193
Jan 23 2015 01: +0,1.924,81161
Jan 24 2015 01: +0,1.766,84206
Jan 25 2015 01: +0,1.483,95932
Jan 26 2015 01: +0,1.488,79298
Jan 27 2015 01: +0,1.498,77197
Jan 28 2015 01: +0,1.459,72583
Jan 29 2015 01: +0,1.372,79614
Jan 30 2015 01: +0,1.333,96233
Jan 31 2015 01: +0,1.287,106019
Feb 01 2015 01: +0,1.089,104071
Feb 02 2015 01: +0,1.098,89433
Feb 03 2015 01: +0,1.156,84973
Feb 04 2015 01: +0,1.194,81762
Feb 05 2015 01: +0,1.199,78297
Feb 06 2015 01: +0,1.165,85512
Feb 07 2015 01: +0,1.061,97339
Feb 08 2015 01: +0,0.949,101036
Feb 09 2015 01: +0,0.902,82523
Feb 10 2015 01: +0,0.892,79492
Feb 11 2015 01: +0,0.876,79570
Feb 12 2015 01: +0,0.88,87289
Feb 13 2015 01: +0,0.91,95512
Feb 14 2015 01: +0,0.899,100599
Feb 15 2015 01: +0,0.819,99018
Feb 16 2015 01: +0,0.735,87867
Feb 17 2015 01: +0,0.713,85932
Feb 18 2015 01: +0,0.736,87819
Feb 19 2015 01: +0,0.762,85550
Feb 20 2015 01: +0,0.798,95582
Feb 21 2015 01: +0,0.771,97533
Feb 22 2015 01: +0,0.649,99335
Feb 23 2015 01: +0,0.624,90372
Feb 24 2015 01: +0,0.688,91087
Feb 25 2015 01: +0,0.759,94915
Feb 26 2015 01: +0,0.818,87212
Feb 27 2015 01: +0,0.859,107615
Feb 28 2015 01: +0,0.818,107988
Mar 01 2015 01: +0,0.748,103956
Mar 02 2015 01: +0,0.742,86938
Mar 03 2015 01: +0,0.769,85271
Mar 04 2015 01: +0,0.784,78965
Mar 05 2015 01: +0,0.753,81170
Mar 06 2015 01: +0,0.717,94547
Mar 07 2015 01: +0,0.651,105774
Mar 08 2015 01: +0,0.596,101855
Mar 09 2015 01: +0,0.548,85613
Mar 10 2015 01: +0,0.585,82941
Mar 11 2015 01: +0,0.599,73926
Mar 12 2015 01: +0,0.522,82693
Mar 13 2015 01: +0,0.561,97582
Mar 14 2015 01: +0,0.527,114896
Mar 15 2015 01: +0,0.444,115346
Mar 16 2015 01: +0,0.402,95124
Mar 17 2015 01: +0,0.431,88471
Mar 18 2015 01: +0,0.431,85070
Mar 19 2015 01: +0,0.444,91613
Mar 20 2015 01: +0,0.461,103536
Mar 21 2015 01: +0,0.435,112947
Mar 22 2015 01: +0,0.381,109970
Mar 23 2015 01: +0,0.363,97483
Mar 24 2015 01: +0,0.367,97454
