Sep 14 2017 01: +0,19.998,119
Sep 15 2017 01: +0,6.39,52778
Sep 16 2017 01: +0,3.357,56599
Sep 17 2017 01: +0,2.423,53560
Sep 18 2017 01: +0,2.277,42196
Sep 19 2017 01: +0,2.077,39616
Sep 20 2017 01: +0,1.943,39865
Sep 21 2017 01: +0,1.726,39402
Sep 22 2017 01: +0,1.505,45566
Sep 23 2017 01: +0,1.198,54331
Sep 24 2017 01: +0,1.021,51039
Sep 25 2017 01: +0,1.143,40850
Sep 26 2017 01: +0,1.181,42519
Sep 27 2017 01: +0,1.103,36489
Sep 28 2017 01: +0,1.077,38346
Sep 29 2017 01: +0,1.101,45324
Sep 30 2017 01: +0,0.996,49974
Oct 01 2017 01: +0,0.853,48863
Oct 02 2017 01: +0,0.865,40028
Oct 03 2017 01: +0,0.868,38528
Oct 04 2017 01: +0,0.791,38482
Oct 05 2017 01: +0,0.784,37454
Oct 06 2017 01: +0,0.766,44325
Oct 07 2017 01: +0,0.726,48810
Oct 08 2017 01: +0,0.606,46466
Oct 09 2017 01: +0,0.536,41664
Oct 10 2017 01: +0,0.556,38245
Oct 11 2017 01: +0,0.604,40150
Oct 12 2017 01: +0,0.637,38846
Oct 13 2017 01: +0,0.623,43817
Oct 14 2017 01: +0,0.579,50031
Oct 15 2017 01: +0,0.504,47556
Oct 16 2017 01: +0,0.5,40286
Oct 17 2017 01: +0,0.516,37672
Oct 18 2017 01: +0,0.505,36757
Oct 19 2017 01: +0,0.503,39268
Oct 20 2017 01: +0,0.512,44623
Oct 21 2017 01: +0,0.48,48342
Oct 22 2017 01: +0,0.418,47202
Oct 23 2017 01: +0,0.406,38889
Oct 24 2017 01: +0,0.404,36258
Oct 25 2017 01: +0,0.404,38598
Oct 26 2017 01: +0,0.402,39357
Oct 27 2017 01: +0,0.403,44154
Oct 28 2017 01: +0,0.374,48957
Oct 29 2017 01: +0,0.33,44742
Oct 30 2017 01: +0,0.309,40175
Oct 31 2017 01: +0,0.347,43075
Nov 01 2017 01: +0,0.365,39575
Nov 02 2017 01: +0,0.37,38110
Nov 03 2017 01: +0,0.359,38188
Nov 04 2017 01: +0,0.332,44661
Nov 05 2017 01: +0,0.315,42592
Nov 06 2017 01: +0,0.308,33564
Nov 07 2017 01: +0,0.299,32973
Nov 08 2017 01: +0,0.292,33411
Nov 09 2017 01: +0,0.295,33017
Nov 10 2017 01: +0,0.302,39195
Nov 11 2017 01: +0,0.291,44827
Nov 12 2017 01: +0,0.268,42004
Nov 13 2017 01: +0,0.263,34721
Nov 14 2017 01: +0,0.255,34865
Nov 15 2017 01: +0,0.259,35075
Nov 16 2017 01: +0,0.251,33777
Nov 17 2017 01: +0,0.237,40681
