Sep 18 2015 01: +0,8.336,160050
Sep 19 2015 01: +0,4.595,188373
Sep 20 2015 01: +0,3.23,179153
Sep 21 2015 01: +0,3.187,128185
Sep 22 2015 01: +0,2.603,126369
Sep 23 2015 01: +0,2.312,122940
Sep 24 2015 01: +0,2.038,131980
Sep 25 2015 01: +0,1.949,151460
Sep 26 2015 01: +0,1.552,166308
Sep 27 2015 01: +0,1.209,174045
Sep 28 2015 01: +0,1.244,137765
Sep 29 2015 01: +0,1.305,119412
Sep 30 2015 01: +0,1.301,125711
Oct 01 2015 01: +0,1.249,121836
Oct 02 2015 01: +0,1.169,134144
Oct 03 2015 01: +0,1.129,137263
Oct 04 2015 01: +0,0.991,133376
Oct 05 2015 01: +0,1.006,114801
Oct 06 2015 01: +0,1.071,96917
Oct 07 2015 01: +0,1,98637
Oct 08 2015 01: +0,0.929,98311
Oct 09 2015 01: +0,0.896,114888
Oct 10 2015 01: +0,0.821,128676
Oct 11 2015 01: +0,0.685,129273
Oct 12 2015 01: +0,0.683,106440
Oct 13 2015 01: +0,0.654,94985
Oct 14 2015 01: +0,0.609,100452
Oct 15 2015 01: +0,0.606,101848
Oct 16 2015 01: +0,0.623,107213
Oct 17 2015 01: +0,0.589,124550
Oct 18 2015 01: +0,0.484,122198
Oct 19 2015 01: +0,0.464,101570
Oct 20 2015 01: +0,0.47,96911
Oct 21 2015 01: +0,0.476,103096
Oct 22 2015 01: +0,0.469,91773
Oct 23 2015 01: +0,0.471,128419
Oct 24 2015 01: +0,0.438,131778
Oct 25 2015 01: +0,0.37,128229
Oct 26 2015 01: +0,0.359,110962
Oct 27 2015 01: +0,0.382,110242
Oct 28 2015 01: +0,0.385,108562
Oct 29 2015 01: +0,0.369,104770
Oct 30 2015 01: +0,0.383,138460
Oct 31 2015 01: +0,0.381,139018
Nov 01 2015 01: +0,0.34,135380
Nov 02 2015 01: +0,0.315,119298
Nov 03 2015 01: +0,0.314,108658
Nov 04 2015 01: +0,0.323,108725
Nov 05 2015 01: +0,0.337,106760
Nov 06 2015 01: +0,0.324,111899
Nov 07 2015 01: +0,0.289,126685
Nov 08 2015 01: +0,0.231,121526
Nov 09 2015 01: +0,0.22,95669
Nov 10 2015 01: +0,0.224,92355
Nov 11 2015 01: +0,0.226,90921
Nov 12 2015 01: +0,0.228,92300
Nov 13 2015 01: +0,0.228,108679
Nov 14 2015 01: +0,0.205,117605
Nov 15 2015 01: +0,0.187,116583
Nov 16 2015 01: +0,0.183,89729
Nov 17 2015 01: +0,0.175,82280
Nov 18 2015 01: +0,0.163,80140
Nov 19 2015 01: +0,0.136,81042
Nov 20 2015 01: +0,0.133,101128
Nov 21 2015 01: +0,0.128,107265
Nov 22 2015 01: +0,0.089,72719
Nov 23 2015 01: +0,0.07,76927
Nov 24 2015 01: +0,0.112,102775
Nov 25 2015 01: +0,0.124,105299
Nov 26 2015 01: +0,0.132,100647
Nov 27 2015 01: +0,0.128,105025
Nov 28 2015 01: +0,0.108,112556
Nov 29 2015 01: +0,0.102,111232
Nov 30 2015 01: +0,0.107,96178
Dec 01 2015 01: +0,0.112,92583
Dec 02 2015 01: +0,0.115,87688
Dec 03 2015 01: +0,0.12,91029
Dec 04 2015 01: +0,0.122,107164
Dec 05 2015 01: +0,0.122,116980
Dec 06 2015 01: +0,0.116,115890
Dec 07 2015 01: +0,0.119,92843
Dec 08 2015 01: +0,0.118,90348
Dec 09 2015 01: +0,0.086,86718
Dec 10 2015 01: +0,0.064,80303
Dec 11 2015 01: +0,0.065,88599
Dec 12 2015 01: +0,0.06,98532
