Apr 16 2015 01: +0,8.212,115698
Apr 17 2015 01: +0,4.977,110583
Apr 18 2015 01: +0,3.459,135568
Apr 19 2015 01: +0,2.673,120560
Apr 20 2015 01: +0,2.869,98099
Apr 21 2015 01: +0,2.578,97319
Apr 22 2015 01: +0,2.479,88972
Apr 23 2015 01: +0,2.193,99900
Apr 24 2015 01: +0,2.19,110873
Apr 25 2015 01: +0,1.991,126264
Apr 26 2015 01: +0,1.692,125046
Apr 27 2015 01: +0,1.744,105028
Apr 28 2015 01: +0,1.736,97656
Apr 29 2015 01: +0,1.731,97735
Apr 30 2015 01: +0,1.69,111813
May 01 2015 01: +0,1.464,127365
May 02 2015 01: +0,1.523,127494
May 03 2015 01: +0,1.28,125258
May 04 2015 01: +0,1.259,118132
May 05 2015 01: +0,1.311,103592
May 06 2015 01: +0,1.281,97918
May 07 2015 01: +0,1.254,96441
May 08 2015 01: +0,1.245,117140
May 09 2015 01: +0,1.158,128114
May 10 2015 01: +0,1.07,121097
May 11 2015 01: +0,1.014,108093
May 12 2015 01: +0,1.009,102222
May 13 2015 01: +0,1.022,105759
May 14 2015 01: +0,1.042,106850
May 15 2015 01: +0,1.046,113820
May 16 2015 01: +0,0.951,125282
May 17 2015 01: +0,0.853,125190
May 18 2015 01: +0,0.856,110973
May 19 2015 01: +0,0.859,102011
May 20 2015 01: +0,0.837,98660
May 21 2015 01: +0,0.822,101860
May 22 2015 01: +0,0.821,119868
May 23 2015 01: +0,0.777,123779
May 24 2015 01: +0,0.662,129469
May 25 2015 01: +0,0.675,133587
May 26 2015 01: +0,0.691,120509
May 27 2015 01: +0,0.315,138819
May 28 2015 01: +0,0.347,139748
May 29 2015 01: +0,0.386,167976
May 30 2015 01: +0,0.485,146319
May 31 2015 01: +0,0.441,143710
Jun 01 2015 01: +0,0.457,136746
Jun 02 2015 01: +0,0.495,122173
Jun 03 2015 01: +0,0.471,112267
Jun 04 2015 01: +0,0.364,113525
Jun 05 2015 01: +0,0.323,128598
Jun 06 2015 01: +0,0.34,127934
Jun 07 2015 01: +0,0.334,121837
Jun 08 2015 01: +0,0.328,114434
Jun 09 2015 01: +0,0.336,115270
Jun 10 2015 01: +0,0.347,126271
Jun 11 2015 01: +0,0.328,105441
Jun 12 2015 01: +0,0.309,129057
Jun 13 2015 01: +0,0.303,125036
Jun 14 2015 01: +0,0.268,122501
Jun 15 2015 01: +0,0.242,115817
Jun 16 2015 01: +0,0.233,116535
Jun 17 2015 01: +0,0.231,115213
Jun 18 2015 01: +0,0.218,113126
Jun 19 2015 01: +0,0.209,118174
Jun 20 2015 01: +0,0.211,122174
Jun 21 2015 01: +0,0.183,108390
Jun 22 2015 01: +0,0.166,108501
Jun 23 2015 01: +0,0.174,107642
Jun 24 2015 01: +0,0.186,119154
Jun 25 2015 01: +0,0.208,130457
Jun 26 2015 01: +0,0.229,130310
Jun 27 2015 01: +0,0.236,122717
Jun 28 2015 01: +0,0.229,119617
Jun 29 2015 01: +0,0.213,121771
Jun 30 2015 01: +0,0.231,135350
Jul 01 2015 01: +0,0.248,122007
Jul 02 2015 01: +0,0.255,120049
Jul 03 2015 01: +0,0.259,121661
Jul 04 2015 01: +0,0.279,117361
Jul 05 2015 01: +0,0.271,115027
Jul 06 2015 01: +0,0.257,121109
Jul 07 2015 01: +0,0.256,122582
Jul 08 2015 01: +0,0.242,116811
Jul 09 2015 01: +0,0.238,129776
Jul 10 2015 01: +0,0.263,138384
Jul 11 2015 01: +0,0.289,126487
Jul 12 2015 01: +0,0.274,125491
Jul 13 2015 01: +0,0.246,130098
Jul 14 2015 01: +0,0.241,126016
Jul 15 2015 01: +0,0.236,128726
Jul 16 2015 01: +0,0.238,127147
Jul 17 2015 01: +0,0.246,131586
Jul 18 2015 01: +0,0.26,126747
Jul 19 2015 01: +0,0.248,120478
Jul 20 2015 01: +0,0.227,133058
Jul 21 2015 01: +0,0.219,124985
Jul 22 2015 01: +0,0.212,126876
Jul 23 2015 01: +0,0.207,134959
Jul 24 2015 01: +0,0.226,148151
Jul 25 2015 01: +0,0.246,128063
Jul 26 2015 01: +0,0.222,117975
Jul 27 2015 01: +0,0.217,129329
Jul 28 2015 01: +0,0.205,122398
Jul 29 2015 01: +0,0.2,117380
Jul 30 2015 01: +0,0.199,128588
Jul 31 2015 01: +0,0.214,138118
Aug 01 2015 01: +0,0.213,127972
Aug 02 2015 01: +0,0.203,120280
Aug 03 2015 01: +0,0.197,124198
Aug 04 2015 01: +0,0.195,116568
Aug 05 2015 01: +0,0.195,120598
Aug 06 2015 01: +0,0.191,124106
Aug 07 2015 01: +0,0.187,123175
Aug 08 2015 01: +0,0.181,123212
Aug 09 2015 01: +0,0.18,116372
Aug 10 2015 01: +0,0.163,117439
Aug 11 2015 01: +0,0.151,121337
Aug 12 2015 01: +0,0.14,122194
Aug 13 2015 01: +0,0.15,117830
Aug 14 2015 01: +0,0.156,127910
Aug 15 2015 01: +0,0.138,125797
Aug 16 2015 01: +0,0.127,116541
Aug 17 2015 01: +0,0.109,113787
Aug 18 2015 01: +0,0.113,109808
Aug 19 2015 01: +0,0.108,107401
Aug 20 2015 01: +0,0.105,111627
Aug 21 2015 01: +0,0.109,124151
Aug 22 2015 01: +0,0.106,121563
Aug 23 2015 01: +0,0.082,112035
Aug 24 2015 01: +0,0.065,114419
Aug 25 2015 01: +0,0.099,133280
Aug 26 2015 01: +0,0.112,129960
Aug 27 2015 01: +0,0.118,137055
Aug 28 2015 01: +0,0.133,155890
Aug 29 2015 01: +0,0.155,145278
Aug 30 2015 01: +0,0.155,144886
Aug 31 2015 01: +0,0.153,142171
Sep 01 2015 01: +0,0.169,129651
Sep 02 2015 01: +0,0.177,122574
Sep 03 2015 01: +0,0.175,124203
Sep 04 2015 01: +0,0.179,137014
Sep 05 2015 01: +0,0.167,152582
Sep 06 2015 01: +0,0.141,138453
Sep 07 2015 01: +0,0.145,121243
Sep 08 2015 01: +0,0.157,119585
Sep 09 2015 01: +0,0.156,102612
Sep 10 2015 01: +0,0.152,122866
Sep 11 2015 01: +0,0.151,134592
Sep 12 2015 01: +0,0.146,151011
Sep 13 2015 01: +0,0.133,138885
Sep 14 2015 01: +0,0.134,116328
Sep 15 2015 01: +0,0.137,115780
Sep 16 2015 01: +0,0.135,114613
Sep 17 2015 01: +0,0.128,115678
Sep 18 2015 01: +0,0.113,148542
Sep 19 2015 01: +0,0.082,144478
Sep 20 2015 01: +0,0.064,137145
Sep 21 2015 01: +0,0.072,118151
Sep 22 2015 01: +0,0.07,117387
Sep 23 2015 01: +0,0.072,117930
Sep 24 2015 01: +0,0.071,118682
Sep 25 2015 01: +0,0.078,149287
Sep 26 2015 01: +0,0.074,145481
Sep 27 2015 01: +0,0.064,149148
Sep 28 2015 01: +0,0.068,110487
Sep 29 2015 01: +0,0.069,116033
Sep 30 2015 01: +0,0.07,127834
Oct 01 2015 01: +0,0.075,136130
Oct 02 2015 01: +0,0.079,144835
Oct 03 2015 01: +0,0.078,158210
Oct 04 2015 01: +0,0.076,134380
Oct 05 2015 01: +0,0.078,122087
Oct 06 2015 01: +0,0.087,107381
Oct 07 2015 01: +0,0.087,112618
Oct 08 2015 01: +0,0.087,103600
Oct 09 2015 01: +0,0.081,115059
Oct 10 2015 01: +0,0.081,127762
Oct 11 2015 01: +0,0.071,127674
Oct 12 2015 01: +0,0.076,105044
Oct 13 2015 01: +0,0.077,95955
Oct 14 2015 01: +0,0.07,93384
Oct 15 2015 01: +0,0.069,92272
Oct 16 2015 01: +0,0.071,104523
Oct 17 2015 01: +0,0.067,117922
Oct 18 2015 01: +0,0.058,112253
Oct 19 2015 01: +0,0.06,93900
Oct 20 2015 01: +0,0.06,97599
Oct 21 2015 01: +0,0.056,106747
Oct 22 2015 01: +0,0.055,91392
Oct 23 2015 01: +0,0.06,147299
Oct 24 2015 01: +0,0.059,153584
Oct 25 2015 01: +0,0.053,144758
Oct 26 2015 01: +0,0.055,103272
Oct 27 2015 01: +0,0.051,120650
Oct 28 2015 01: +0,0.051,114447
Oct 29 2015 01: +0,0.051,114399
Oct 30 2015 01: +0,0.051,131527
Oct 31 2015 01: +0,0.047,137443
Nov 01 2015 01: +0,0.041,138165
Nov 02 2015 01: +0,0.043,110973
Nov 03 2015 01: +0,0.044,108372
Nov 04 2015 01: +0,0.049,104339
Nov 05 2015 01: +0,0.047,105248
Nov 06 2015 01: +0,0.048,117949
Nov 07 2015 01: +0,0.045,130749
Nov 08 2015 01: +0,0.043,115148
Nov 09 2015 01: +0,0.04,102516
Nov 10 2015 01: +0,0.035,115453
Nov 11 2015 01: +0,0.036,114135
Nov 12 2015 01: +0,0.04,102756
Nov 13 2015 01: +0,0.042,116574
Nov 14 2015 01: +0,0.042,126322
Nov 15 2015 01: +0,0.036,132605
Nov 16 2015 01: +0,0.043,135180
