Nov 29 2016 01: +0,8.157,53686
Nov 30 2016 01: +0,4.517,49360
Dec 01 2016 01: +0,3.432,48668
Dec 02 2016 01: +0,2.631,54474
Dec 03 2016 01: +0,2.041,64918
Dec 04 2016 01: +0,1.645,61785
Dec 05 2016 01: +0,1.534,46688
Dec 06 2016 01: +0,1.385,44565
Dec 07 2016 01: +0,1.302,45419
Dec 08 2016 01: +0,1.399,44747
Dec 09 2016 01: +0,1.277,46648
Dec 10 2016 01: +0,1.026,53017
Dec 11 2016 01: +0,0.849,52132
Dec 12 2016 01: +0,0.835,41960
Dec 13 2016 01: +0,0.845,37806
Dec 14 2016 01: +0,0.797,36809
Dec 15 2016 01: +0,0.725,37556
Dec 16 2016 01: +0,0.664,41036
Dec 17 2016 01: +0,0.566,49985
Dec 18 2016 01: +0,0.479,49050
Dec 19 2016 01: +0,0.414,45618
Dec 20 2016 01: +0,0.439,41164
Dec 21 2016 01: +0,0.438,41202
Dec 22 2016 01: +0,0.434,43391
Dec 23 2016 01: +0,0.449,43447
Dec 24 2016 01: +0,0.482,51487
Dec 25 2016 01: +0,0.563,64997
Dec 26 2016 01: +0,0.702,53138
Dec 27 2016 01: +0,0.549,50408
Dec 28 2016 01: +0,0.503,44511
Dec 29 2016 01: +0,0.467,45942
Dec 30 2016 01: +0,0.443,48005
Dec 31 2016 01: +0,0.477,43799
Jan 01 2017 01: +0,0.471,44935
Jan 02 2017 01: +0,0.491,43616
Jan 03 2017 01: +0,0.38,42296
Jan 04 2017 01: +0,0.334,41667
Jan 05 2017 01: +0,0.324,44011
Jan 06 2017 01: +0,0.313,46861
Jan 07 2017 01: +0,0.31,48457
Jan 08 2017 01: +0,0.301,45389
Jan 09 2017 01: +0,0.285,37263
Jan 10 2017 01: +0,0.277,37989
Jan 11 2017 01: +0,0.273,37011
Jan 12 2017 01: +0,0.258,37178
Jan 13 2017 01: +0,0.249,48107
Jan 14 2017 01: +0,0.249,51755
Jan 15 2017 01: +0,0.224,46185
Jan 16 2017 01: +0,0.207,40662
Jan 17 2017 01: +0,0.211,39334
Jan 18 2017 01: +0,0.212,38261
Jan 19 2017 01: +0,0.202,38144
Jan 20 2017 01: +0,0.201,43076
Jan 21 2017 01: +0,0.2,49758
Jan 22 2017 01: +0,0.179,45288
Jan 23 2017 01: +0,0.149,40232
Jan 24 2017 01: +0,0.124,37381
Jan 25 2017 01: +0,0.148,42946
Jan 26 2017 01: +0,0.155,42910
Jan 27 2017 01: +0,0.16,44069
Jan 28 2017 01: +0,0.163,50751
Jan 29 2017 01: +0,0.155,48886
Jan 30 2017 01: +0,0.134,39272
Jan 31 2017 01: +0,0.14,41230
Feb 01 2017 01: +0,0.16,41314
Feb 02 2017 01: +0,0.173,41654
Feb 03 2017 01: +0,0.172,42298
Feb 04 2017 01: +0,0.173,50782
Feb 05 2017 01: +0,0.162,43549
Feb 06 2017 01: +0,0.161,38099
Feb 07 2017 01: +0,0.157,38843
Feb 08 2017 01: +0,0.154,37573
Feb 09 2017 01: +0,0.145,36572
Feb 10 2017 01: +0,0.142,41864
