Dec 19 2013 01: +0,6.93,11433
Dec 20 2013 01: +0,4.273,14869
Dec 21 2013 01: +0,3.352,15204
Dec 22 2013 01: +0,2.689,16540
Dec 23 2013 01: +0,2.353,17821
Dec 24 2013 01: +0,2.519,16755
Dec 25 2013 01: +0,2.589,10996
Dec 26 2013 01: +0,2.421,16180
Dec 27 2013 01: +0,2.432,16182
Dec 28 2013 01: +0,2.139,15987
Dec 29 2013 01: +0,1.711,17539
Dec 30 2013 01: +0,1.553,20863
Dec 31 2013 01: +0,1.587,17306
Jan 01 2014 01: +0,1.649,16530
Jan 02 2014 01: +0,1.598,18773
Jan 03 2014 01: +0,1.476,15280
Jan 04 2014 01: +0,1.529,23520
Jan 05 2014 01: +0,1.456,20449
Jan 06 2014 01: +0,1.382,20946
Jan 07 2014 01: +0,1.359,20498
Jan 08 2014 01: +0,1.343,17222
Jan 09 2014 01: +0,1.302,18546
Jan 10 2014 01: +0,1.301,21389
Jan 11 2014 01: +0,1.374,19969
Jan 12 2014 01: +0,1.117,24148
Jan 13 2014 01: +0,1.082,21847
Jan 14 2014 01: +0,1.12,20206
Jan 15 2014 01: +0,1.144,18566
Jan 16 2014 01: +0,1.131,18864
Jan 17 2014 01: +0,1.146,19611
Jan 18 2014 01: +0,1.076,22641
Jan 19 2014 01: +0,0.996,23312
Jan 20 2014 01: +0,0.974,21794
Jan 21 2014 01: +0,0.976,20812
Jan 22 2014 01: +0,0.949,19401
Jan 23 2014 01: +0,0.936,20196
Jan 24 2014 01: +0,1.005,23292
Jan 25 2014 01: +0,1.038,25422
Jan 26 2014 01: +0,1.12,23295
Jan 27 2014 01: +0,1.009,19661
Jan 28 2014 01: +0,0.981,20147
Jan 29 2014 01: +0,0.909,20108
Jan 30 2014 01: +0,0.851,21143
Jan 31 2014 01: +0,0.852,24534
Feb 01 2014 01: +0,0.847,26218
Feb 02 2014 01: +0,0.809,24660
Feb 03 2014 01: +0,0.786,21512
Feb 04 2014 01: +0,0.778,20633
Feb 05 2014 01: +0,0.763,19866
Feb 06 2014 01: +0,0.74,21363
Feb 07 2014 01: +0,0.739,24511
Feb 08 2014 01: +0,0.744,24671
Feb 09 2014 01: +0,0.664,25581
Feb 10 2014 01: +0,0.619,21393
Feb 11 2014 01: +0,0.604,22115
Feb 12 2014 01: +0,0.571,22393
Feb 13 2014 01: +0,0.521,22539
Feb 14 2014 01: +0,0.478,24938
Feb 15 2014 01: +0,0.443,27714
Feb 16 2014 01: +0,0.405,26687
Feb 17 2014 01: +0,0.418,27365
Feb 18 2014 01: +0,0.428,24601
Feb 19 2014 01: +0,0.454,23047
Feb 20 2014 01: +0,0.439,23023
Feb 21 2014 01: +0,0.343,24770
Feb 22 2014 01: +0,0.262,27234
Feb 23 2014 01: +0,0.235,27693
Feb 24 2014 01: +0,0.239,28494
Feb 25 2014 01: +0,0.289,33913
Feb 26 2014 01: +0,0.374,27876
Feb 27 2014 01: +0,0.388,27050
Feb 28 2014 01: +0,0.402,30616
Mar 01 2014 01: +0,0.389,28986
Mar 02 2014 01: +0,0.364,29731
Mar 03 2014 01: +0,0.353,27222
Mar 04 2014 01: +0,0.358,26518
Mar 05 2014 01: +0,0.354,22120
Mar 06 2014 01: +0,0.362,25048
Mar 07 2014 01: +0,0.356,28180
Mar 08 2014 01: +0,0.332,26818
Mar 09 2014 01: +0,0.292,24755
Mar 10 2014 01: +0,0.279,23432
Mar 11 2014 01: +0,0.278,22187
Mar 12 2014 01: +0,0.281,21797
Mar 13 2014 01: +0,0.294,18693
Mar 14 2014 01: +0,0.318,25941
Mar 15 2014 01: +0,0.283,33083
Mar 16 2014 01: +0,0.239,31681
Mar 17 2014 01: +0,0.235,30022
Mar 18 2014 01: +0,0.26,27567
Mar 19 2014 01: +0,0.278,28241
Mar 20 2014 01: +0,0.28,26301
Mar 21 2014 01: +0,0.281,30036
Mar 22 2014 01: +0,0.281,33216
Mar 23 2014 01: +0,0.262,27879
Mar 24 2014 01: +0,0.255,30143
Mar 25 2014 01: +0,0.274,27758
Mar 26 2014 01: +0,0.284,29569
Mar 27 2014 01: +0,0.291,30624
Mar 28 2014 01: +0,0.306,34998
Mar 29 2014 01: +0,0.296,33723
Mar 30 2014 01: +0,0.289,35560
Mar 31 2014 01: +0,0.304,36794
Apr 01 2014 01: +0,0.376,35305
Apr 02 2014 01: +0,0.387,31381
Apr 03 2014 01: +0,0.365,29062
Apr 04 2014 01: +0,0.345,35860
Apr 05 2014 01: +0,0.335,34114
Apr 06 2014 01: +0,0.304,31689
Apr 07 2014 01: +0,0.295,28627
Apr 08 2014 01: +0,0.295,28242
Apr 09 2014 01: +0,0.295,29007
Apr 10 2014 01: +0,0.296,29787
Apr 11 2014 01: +0,0.31,34778
Apr 12 2014 01: +0,0.303,33262
Apr 13 2014 01: +0,0.292,32157
Apr 14 2014 01: +0,0.293,34983
Apr 15 2014 01: +0,0.3,35864
Apr 16 2014 01: +0,0.305,36878
Apr 17 2014 01: +0,0.319,37352
Apr 18 2014 01: +0,0.323,36867
Apr 19 2014 01: +0,0.323,38175
Apr 20 2014 01: +0,0.318,36093
Apr 21 2014 01: +0,0.314,34626
Apr 22 2014 01: +0,0.314,34628
Apr 23 2014 01: +0,0.318,34097
Apr 24 2014 01: +0,0.324,36756
Apr 25 2014 01: +0,0.345,41476
Apr 26 2014 01: +0,0.359,43114
Apr 27 2014 01: +0,0.357,40994
Apr 28 2014 01: +0,0.363,38434
Apr 29 2014 01: +0,0.378,37964
Apr 30 2014 01: +0,0.457,50004
May 01 2014 01: +0,0.506,38389
May 02 2014 01: +0,0.417,39861
May 03 2014 01: +0,0.337,39521
May 04 2014 01: +0,0.293,40879
May 05 2014 01: +0,0.278,35607
May 06 2014 01: +0,0.266,34500
May 07 2014 01: +0,0.254,34349
May 08 2014 01: +0,0.244,35687
May 09 2014 01: +0,0.234,41016
May 10 2014 01: +0,0.22,40215
May 11 2014 01: +0,0.189,38024
May 12 2014 01: +0,0.171,31106
May 13 2014 01: +0,0.163,29959
May 14 2014 01: +0,0.162,29913
May 15 2014 01: +0,0.16,31467
May 16 2014 01: +0,0.161,33522
May 17 2014 01: +0,0.15,32810
May 18 2014 01: +0,0.137,32981
May 19 2014 01: +0,0.133,30312
May 20 2014 01: +0,0.136,29115
May 21 2014 01: +0,0.133,34168
May 22 2014 01: +0,0.133,30501
May 23 2014 01: +0,0.135,37711
May 24 2014 01: +0,0.136,42969
May 25 2014 01: +0,0.136,38957
May 26 2014 01: +0,0.13,34335
May 27 2014 01: +0,0.128,32273
May 28 2014 01: +0,0.132,41845
May 29 2014 01: +0,0.135,36944
May 30 2014 01: +0,0.136,39151
May 31 2014 01: +0,0.134,33823
Jun 01 2014 01: +0,0.122,31763
Jun 02 2014 01: +0,0.115,34070
Jun 03 2014 01: +0,0.12,35913
Jun 04 2014 01: +0,0.119,36005
Jun 05 2014 01: +0,0.12,32073
Jun 06 2014 01: +0,0.115,32466
Jun 07 2014 01: +0,0.111,33374
Jun 08 2014 01: +0,0.097,34246
Jun 09 2014 01: +0,0.092,33304
Jun 10 2014 01: +0,0.091,29764
Jun 11 2014 01: +0,0.087,31424
Jun 12 2014 01: +0,0.094,36874
Jun 13 2014 01: +0,0.101,39232
Jun 14 2014 01: +0,0.109,40474
Jun 15 2014 01: +0,0.108,36854
Jun 16 2014 01: +0,0.111,34549
Jun 17 2014 01: +0,0.109,36056
Jun 18 2014 01: +0,0.109,33391
Jun 19 2014 01: +0,0.102,33963
Jun 20 2014 01: +0,0.084,38030
Jun 21 2014 01: +0,0.08,35087
Jun 22 2014 01: +0,0.074,33377
Jun 23 2014 01: +0,0.066,31353
Jun 24 2014 01: +0,0.066,33014
Jun 25 2014 01: +0,0.074,36144
Jun 26 2014 01: +0,0.075,32499
Jun 27 2014 01: +0,0.079,34569
Jun 28 2014 01: +0,0.08,36190
Jun 29 2014 01: +0,0.08,37759
Jun 30 2014 01: +0,0.082,38452
Jul 01 2014 01: +0,0.091,38481
Jul 02 2014 01: +0,0.055,37794
Jul 03 2014 01: +0,0.053,32114
Jul 04 2014 01: +0,0.065,30418
Jul 05 2014 01: +0,0.067,33294
Jul 06 2014 01: +0,0.07,36450
Jul 07 2014 01: +0,0.067,35634
Jul 08 2014 01: +0,0.069,34185
Jul 09 2014 01: +0,0.074,32871
Jul 10 2014 01: +0,0.071,33540
Jul 11 2014 01: +0,0.073,40742
Jul 12 2014 01: +0,0.073,32224
Jul 13 2014 01: +0,0.076,30540
Jul 14 2014 01: +0,0.073,33274
Jul 15 2014 01: +0,0.071,33636
Jul 16 2014 01: +0,0.075,31471
Jul 17 2014 01: +0,0.077,30865
Jul 18 2014 01: +0,0.08,28116
Jul 19 2014 01: +0,0.079,32022
Jul 20 2014 01: +0,0.085,36129
Jul 21 2014 01: +0,0.086,29884
Jul 22 2014 01: +0,0.083,29675
Jul 23 2014 01: +0,0.082,27304
Jul 24 2014 01: +0,0.08,27837
Jul 25 2014 01: +0,0.083,35003
Jul 26 2014 01: +0,0.085,35621
Jul 27 2014 01: +0,0.087,36571
Jul 28 2014 01: +0,0.091,38880
Jul 29 2014 01: +0,0.096,43854
Jul 30 2014 01: +0,0.098,30749
Jul 31 2014 01: +0,0.091,32904
Aug 01 2014 01: +0,0.111,45624
Aug 02 2014 01: +0,0.122,47331
Aug 03 2014 01: +0,0.137,49847
Aug 04 2014 01: +0,0.147,50909
Aug 05 2014 01: +0,0.139,48018
Aug 06 2014 01: +0,0.12,34532
Aug 07 2014 01: +0,0.123,35899
Aug 08 2014 01: +0,0.124,36207
Aug 09 2014 01: +0,0.128,34151
Aug 10 2014 01: +0,0.124,34258
Aug 11 2014 01: +0,0.12,35326
Aug 12 2014 01: +0,0.118,34826
Aug 13 2014 01: +0,0.117,34873
Aug 14 2014 01: +0,0.108,36433
Aug 15 2014 01: +0,0.112,38057
Aug 16 2014 01: +0,0.114,38546
Aug 17 2014 01: +0,0.085,46892
Aug 18 2014 01: +0,0.087,34714
Aug 19 2014 01: +0,0.104,38380
Aug 20 2014 01: +0,0.107,37299
Aug 21 2014 01: +0,0.115,39588
Aug 22 2014 01: +0,0.119,43133
Aug 23 2014 01: +0,0.129,46639
Aug 24 2014 01: +0,0.128,43105
Aug 25 2014 01: +0,0.14,50996
Aug 26 2014 01: +0,0.163,51482
Aug 27 2014 01: +0,0.188,54211
Aug 28 2014 01: +0,0.209,50881
Aug 29 2014 01: +0,0.258,65889
Aug 30 2014 01: +0,0.28,55695
Aug 31 2014 01: +0,0.251,49404
Sep 01 2014 01: +0,0.246,48210
Sep 02 2014 01: +0,0.255,46492
Sep 03 2014 01: +0,0.26,42382
Sep 04 2014 01: +0,0.245,33453
Sep 05 2014 01: +0,0.225,38788
Sep 06 2014 01: +0,0.206,43809
Sep 07 2014 01: +0,0.187,41223
Sep 08 2014 01: +0,0.187,37836
Sep 09 2014 01: +0,0.187,35334
Sep 10 2014 01: +0,0.185,35801
Sep 11 2014 01: +0,0.179,40305
Sep 12 2014 01: +0,0.175,42897
Sep 13 2014 01: +0,0.169,46803
Sep 14 2014 01: +0,0.159,44500
Sep 15 2014 01: +0,0.152,36252
Sep 16 2014 01: +0,0.149,33184
Sep 17 2014 01: +0,0.149,34172
Sep 18 2014 01: +0,0.145,32062
Sep 19 2014 01: +0,0.142,37253
Sep 20 2014 01: +0,0.138,42313
Sep 21 2014 01: +0,0.127,33061
Sep 22 2014 01: +0,0.126,30602
Sep 23 2014 01: +0,0.123,28720
Sep 24 2014 01: +0,0.124,29361
Sep 25 2014 01: +0,0.126,32156
Sep 26 2014 01: +0,0.128,38000
Sep 27 2014 01: +0,0.127,41720
Sep 28 2014 01: +0,0.124,39057
Sep 29 2014 01: +0,0.121,32439
Sep 30 2014 01: +0,0.124,33949
Oct 01 2014 01: +0,0.125,36006
Oct 02 2014 01: +0,0.123,33596
Oct 03 2014 01: +0,0.126,35070
Oct 04 2014 01: +0,0.139,35233
Oct 05 2014 01: +0,0.144,30065
Oct 06 2014 01: +0,0.168,34264
Oct 07 2014 01: +0,0.21,28517
Oct 08 2014 01: +0,0.226,27777
Oct 09 2014 01: +0,0.201,23958
Oct 10 2014 01: +0,0.204,25506
Oct 11 2014 01: +0,0.232,28524
Oct 12 2014 01: +0,0.224,20197
Oct 13 2014 01: +0,0.226,18600
Oct 14 2014 01: +0,0.236,18687
Oct 15 2014 01: +0,0.239,16843
Oct 16 2014 01: +0,0.233,15655
Oct 17 2014 01: +0,0.226,17971
Oct 18 2014 01: +0,0.225,20126
Oct 19 2014 01: +0,0.213,16339
Oct 20 2014 01: +0,0.209,13327
Oct 21 2014 01: +0,0.21,12478
Oct 22 2014 01: +0,0.209,11925
Oct 23 2014 01: +0,0.206,12330
Oct 24 2014 01: +0,0.212,15593
Oct 25 2014 01: +0,0.218,17183
Oct 26 2014 01: +0,0.22,15875
Oct 27 2014 01: +0,0.22,12553
Oct 28 2014 01: +0,0.221,12284
Oct 29 2014 01: +0,0.234,12458
Oct 30 2014 01: +0,0.241,13594
Oct 31 2014 01: +0,0.245,16484
Nov 01 2014 01: +0,0.246,16529
Nov 02 2014 01: +0,0.253,15093
Nov 03 2014 01: +0,0.25,11351
Nov 04 2014 01: +0,0.255,10690
Nov 05 2014 01: +0,0.26,9904
Nov 06 2014 01: +0,0.263,11004
Nov 07 2014 01: +0,0.273,13013
Nov 08 2014 01: +0,0.272,12420
Nov 09 2014 01: +0,0.262,10555
Nov 10 2014 01: +0,0.275,10766
Nov 11 2014 01: +0,0.287,11581
Nov 12 2014 01: +0,0.23,20031
Nov 13 2014 01: +0,0.206,9944
Nov 14 2014 01: +0,0.23,9692
Nov 15 2014 01: +0,0.236,10869
Nov 16 2014 01: +0,0.227,9316
Nov 17 2014 01: +0,0.223,8255
Nov 18 2014 01: +0,0.236,7892
Nov 19 2014 01: +0,0.237,6747
Nov 20 2014 01: +0,0.232,6900
Nov 21 2014 01: +0,0.221,7718
Nov 22 2014 01: +0,0.207,8548
Nov 23 2014 01: +0,0.203,7849
Nov 24 2014 01: +0,0.204,7220
Nov 25 2014 01: +0,0.202,7366
Nov 26 2014 01: +0,0.196,8552
Nov 27 2014 01: +0,0.191,9852
Nov 28 2014 01: +0,0.196,10636
Nov 29 2014 01: +0,0.195,10053
Nov 30 2014 01: +0,0.191,12211
Dec 01 2014 01: +0,0.207,10491
Dec 02 2014 01: +0,0.226,9712
Dec 03 2014 01: +0,0.257,10521
Dec 04 2014 01: +0,0.283,8633
Dec 05 2014 01: +0,0.305,10994
Dec 06 2014 01: +0,0.34,13499
Dec 07 2014 01: +0,0.367,12278
Dec 08 2014 01: +0,0.361,9187
Dec 09 2014 01: +0,0.366,8713
Dec 10 2014 01: +0,0.328,10629
Dec 11 2014 01: +0,0.343,9688
Dec 12 2014 01: +0,0.349,10783
Dec 13 2014 01: +0,0.351,11583
