Aug 19 2013 01: +0,24.95,1
Aug 20 2013 01: +0,19.98,1
Aug 23 2013 01: +0,19.978,1
Aug 24 2013 01: +0,57.536,1
Aug 27 2013 01: +0,35.356,3
Aug 28 2013 01: +0,35.34,1
Sep 01 2013 01: +0,44.926,4
Sep 02 2013 01: +0,38.207,5
Sep 06 2013 01: +0,42.32,1
Sep 08 2013 01: +0,28.75,1
Sep 09 2013 01: +0,55.563,3
Sep 10 2013 01: +0,67.594,1
Sep 11 2013 01: +0,63.907,2
Sep 12 2013 01: +0,70.955,2
Sep 13 2013 01: +0,62.725,3
Sep 14 2013 01: +0,65.201,2
Sep 15 2013 01: +0,63.73,2
Sep 16 2013 01: +0,58.65,1
Sep 17 2013 01: +0,58.984,5
Sep 18 2013 01: +0,58.493,2
Sep 19 2013 01: +0,66.5,1
Sep 20 2013 01: +0,68.963,3
Sep 21 2013 01: +0,71.269,2
Sep 22 2013 01: +0,68.02,1
Sep 23 2013 01: +0,66.536,4
Sep 24 2013 01: +0,69.901,3
Sep 25 2013 01: +0,75.92,1
Sep 26 2013 01: +0,61.242,5
Sep 28 2013 01: +0,80.372,3
Sep 29 2013 01: +0,74.75,1
Sep 30 2013 01: +0,74.861,2
Oct 01 2013 01: +0,63.379,3
Oct 02 2013 01: +0,73.227,4
Oct 04 2013 01: +0,76.526,2
Oct 05 2013 01: +0,69.012,1
Oct 06 2013 01: +0,85.53,2
Oct 07 2013 01: +0,84.358,2
Oct 08 2013 01: +0,75.348,2
Oct 09 2013 01: +0,82.989,3
Oct 10 2013 01: +0,75.003,3
Oct 11 2013 01: +0,94.777,1
Oct 12 2013 01: +0,77.863,2
Oct 13 2013 01: +0,86.644,4
Oct 14 2013 01: +0,98.616,2
Oct 17 2013 01: +0,83.953,3
Oct 18 2013 01: +0,82.032,3
Oct 19 2013 01: +0,88.246,2
Oct 20 2013 01: +0,87.823,5
Oct 21 2013 01: +0,96.511,3
Oct 22 2013 01: +0,89.234,1
Oct 23 2013 01: +0,92.296,2
Oct 24 2013 01: +0,92,1
Oct 25 2013 01: +0,95.452,4
Oct 26 2013 01: +0,102.986,1
Oct 27 2013 01: +0,99.297,3
Oct 28 2013 01: +0,102.596,2
Oct 29 2013 01: +0,86.614,2
Oct 30 2013 01: +0,88.32,1
Oct 31 2013 01: +0,85.047,3
Nov 01 2013 01: +0,91.981,3
Nov 02 2013 01: +0,89.954,5
Nov 03 2013 01: +0,88.48,4
Nov 04 2013 01: +0,95.088,4
Nov 05 2013 01: +0,101.869,2
Nov 06 2013 01: +0,78.127,3
Nov 07 2013 01: +0,85.11,1
Nov 08 2013 01: +0,93.861,3
Nov 09 2013 01: +0,84.411,1
Nov 10 2013 01: +0,87.208,2
Nov 11 2013 01: +0,89.235,3
Nov 12 2013 01: +0,73.443,5
Nov 13 2013 01: +0,88.312,1
Nov 14 2013 01: +0,67.329,5
Nov 15 2013 01: +0,85.635,8
Nov 16 2013 01: +0,92.548,3
Nov 17 2013 01: +0,77.047,2
Nov 18 2013 01: +0,91.458,1
Nov 19 2013 01: +0,81.289,2
Nov 20 2013 01: +0,89.45,6
Nov 21 2013 01: +0,93.969,2
Nov 24 2013 01: +0,89.242,2
Nov 25 2013 01: +0,87.686,1
Nov 26 2013 01: +0,84.562,5
Nov 27 2013 01: +0,81.016,6
Nov 28 2013 01: +0,101.745,2
Nov 29 2013 01: +0,85.786,3
Nov 30 2013 01: +0,92.753,9
Dec 01 2013 01: +0,97.398,4
Dec 02 2013 01: +0,91.726,5
Dec 03 2013 01: +0,109.175,2
Dec 04 2013 01: +0,98.786,3
Dec 05 2013 01: +0,108.7,5
Dec 06 2013 01: +0,70.452,3
Dec 07 2013 01: +0,91.476,4
Dec 08 2013 01: +0,108.063,4
Dec 09 2013 01: +0,108.05,2
Dec 10 2013 01: +0,112.412,3
Dec 11 2013 01: +0,101.538,3
Dec 12 2013 01: +0,112.786,2
Dec 13 2013 01: +0,115.639,6
Dec 14 2013 01: +0,124.736,1
Dec 15 2013 01: +0,114.787,3
Dec 16 2013 01: +0,105.34,2
Dec 17 2013 01: +0,103.5,1
Dec 18 2013 01: +0,117.717,2
Dec 19 2013 01: +0,98.512,3
Dec 20 2013 01: +0,95.876,3
Dec 21 2013 01: +0,102.883,6
Dec 22 2013 01: +0,103.64,5
Dec 23 2013 01: +0,96.11,7
Dec 24 2013 01: +0,102.103,2
Dec 25 2013 01: +0,105.089,5
Dec 26 2013 01: +0,111.171,7
Dec 27 2013 01: +0,114.088,6
Dec 28 2013 01: +0,112.934,6
Dec 29 2013 01: +0,112.001,4
Dec 30 2013 01: +0,102.641,1
Dec 31 2013 01: +0,104.93,8
Jan 01 2014 01: +0,109.777,5
Jan 02 2014 01: +0,109.031,5
Jan 03 2014 01: +0,106.622,5
Jan 04 2014 01: +0,104.837,3
Jan 05 2014 01: +0,109.647,5
Jan 06 2014 01: +0,108.719,5
Jan 07 2014 01: +0,105.436,3
Jan 08 2014 01: +0,100.17,8
Jan 09 2014 01: +0,111.055,6
Jan 10 2014 01: +0,86.464,5
Jan 11 2014 01: +0,122.623,6
Jan 12 2014 01: +0,118.878,4
Jan 13 2014 01: +0,108.259,7
Jan 14 2014 01: +0,105.68,5
Jan 15 2014 01: +0,113.181,3
Jan 16 2014 01: +0,106.61,3
Jan 17 2014 01: +0,115.908,6
Jan 18 2014 01: +0,107.327,9
Jan 19 2014 01: +0,96.248,10
Jan 20 2014 01: +0,116.895,6
Jan 21 2014 01: +0,108.372,3
Jan 22 2014 01: +0,113.222,5
